2026-02-05 14:04:00 | http://google.com HTTP | 200 | redirects=2
2026-02-05 14:04:00 | https://www.microsoft.com HTTP | 200 | redirects=2
2026-02-05 14:06:00 | http://google.com HTTP | 200 | redirects=1
2026-02-05 14:08:00 | http://google.com HTTP | 200 | redirects=2
2026-02-05 14:08:00 | https://www.microsoft.com HTTP | 200 | redirects=2
2026-02-05 14:10:00 | http://google.com HTTP | 200 | redirects=1
2026-02-05 14:12:00 | http://google.com HTTP | 200 | redirects=2
2026-02-05 14:12:00 | https://www.microsoft.com HTTP | 200 | redirects=2
2026-02-05 14:14:00 | http://google.com HTTP | 200 | redirects=1
2026-02-05 14:34:01 | http://google.com HTTP | 200 | redirects=1
2026-02-05 14:36:00 | http://google.com HTTP | 200 | redirects=2
2026-02-05 14:36:00 | https://www.microsoft.com HTTP | 200 | redirects=2
2026-02-05 14:38:00 | http://google.com HTTP | 200 | redirects=1
2026-02-05 17:26:01 | http://google.com HTTP | 200 | redirects=1
